,API Name,Description,Category,Followers,Versions
1,GoogleMapsAPI," [This API is no longer available. Google Maps' services have been split into multiple APIs, including the Static Maps API, Street View Image API, Directions APIs, Distance Matrix API, Elevation API,...",Mapping,"3,944",REST
2,TwitterAPI," [This API is no longer available. It has been split into multiple APIs, including the Twitter Ads API, Twitter Search Tweets API, and Twitter Direct Message API.
This profile is maintained for...",Social,"2,395",VersionFEEDDeactivatedRESTDeactivatedRESTv2Recommended
3,YouTubeAPI," The Data API allows users to integrate their program with YouTube and allow it to perform many of the operations available on the website. It provides the capability to search for videos, retrieve...",Video,"2,356",REST
4,FlickrAPI," The Flickr API can be used to retrieve photos from the Flickr photo sharing service using a variety of feeds - public photos and videos, favorites, friends, group pools, discussions, and more. The...",Photos,850,REST
5,FacebookAPI," [This API is no longer available. Its functions have been split among the following APIs: Facebook Ads, Facebook Atlas, Facebook Graph, and Facebook Marketing. This profile is being maintained purely...",Social,"4,216",REST
6,AmazonProductAdvertisingAPI, What was formerly the ECS - eCommerce Service - has been renamed the Product Advertising API. Through this API developers can retrieve product information. The API exposes Amazon's product data and e...,eCommerce,"1,348",VersionRESTv1.0ActiveRESTv5.0Recommended
7,TwilioAPI," Twilio provides a simple hosted API and markup language for businesses to quickly build scalable, reliable and advanced voice and SMS communications applications. Twilio provides a telephony...",Telephony,698,REST
8,Last.fmAPI," The Last.fm API gives users the ability to build programs using Last.fm data, whether on the web, the desktop or mobile devices. The RESTful API allows for read and write access to the full slate of...",Music,784,RESTv2.0
9,TwilioSMSAPI," The Twilio SMS API allows developers to send and receive SMS messages, track sent messages, and retrieve and modify message history from their applications. This API uses a RESTful interface over...",Messaging,288,RESTv2010.04.01
10,MicrosoftBingMapsAPI," Bing Maps API and Interactive SDK features an AJAX Map Control. Use BM to build maps which can include routes and traffic info. Gives developers the ability to code the controls, shapes, and layers...",Mapping,432,Indirect
11,del.icio.usAPI," From their site: del.icio.us is a social bookmarking website -- the primary use of del.icio.us is to store your bookmarks online, which allows you to access the same bookmarks from any computer and...",Bookmarks,254,REST
12,GoogleAppEngineAPI," [This API is no longer available. Its functions have been split among the following APIs: Google App Engine Admin, Google App Engine Task Queue, Google Cloud App Engine Tasks, Google App Engine Admin...",Tools,275,Unspecified
13,FoursquareAPI," The Foursquare Places API provides location based experiences with diverse information about venues, users, photos, and check-ins. The API supports real time access to places, Snap-to-Place that...",Social,633,RESTv2
14,GoogleGadgetsAPI, From their site: The Google Gadgets API provides a way to put third-party content onto the Google homepage. The main use of the Google Gadgets API is to create gadgets (mini-applications) that users...,Widgets,170,RPCv1
15,DocuSignEnterpriseAPI," DocuSign is a Cloud based legally compliant eSignature service. DocuSign service provides an intuitive web, mobile and an API interfaces. DocuSign API allows an application to connect DocuSign...",ElectronicSignature,110,VersionRESTv3.0RecommendedRPCv3.0Recommended
16,AmazonS3API," Since 2006 Amazon Web Services has been offering web services commonly known as cloud computing. AWS Provides a reliable, low cost infrastructure platform that powers hundreds of thousands of...",Storage,300,REST
17,GoogleAdSenseAPI," The Google AdSense API is ideal for developers whose users create their own content through blogging, web publishing, forum/wiki/community creation, or any other application where substantial web...",Advertising,194,REST
18,GeoNamesAPI," Geonames is a geographical database with web services that let users extract useful information about different places, such as weather, timezone and post codes. The GeoNames geographical database...",Reference,611,REST
19,WikipediaAPI," The unofficial Wikipedia API. Because Wikipedia is built using MediaWiki, which in turn supports an API, Wikipedia does as well. This provides developers code-level access to the entire Wikipedia...",Reference,877,REST
20,BoxAPI," Box is a modern content management platform that transforms how organizations work and collaborate to achieve results faster.
Box Platform provides content APIs to build secure content experiences...",Content,253,RESTv2.0
21,AmazonEC2API, The Amazon Elastic Compute Cloud (Amazon EC2) API is a web service that enables you to launch and manage Linux/UNIX and Windows server instances in Amazon's data centers. Giving users the ability to...,Cloud,131,REST
22,LinkedInAPI," LinkedIn is the world's largest business social networking hub. Launched in 2003, LinkedIn has millions of users and is implemented in over 200 countries. One purpose of the site is to allow...",Social,"1,574",VersionRESTv1ActiveRESTv2Recommended
23,BingAPI," [The Bing API is now the Bing Web Search API. This profile is being maintained purely for historical and research purposes.]
The Bing API provides an experience similar to Bing.com/search by...",Search,367,RESTv7
24,InstagramGraphAPI," Instagram is a photo sharing iPhone app and service. Users take photos and can share them with Instagram contacts, as well as friends on other social networks like Twitter and Facebook. The Instagram...",Photos,"1,274",RESTv2.11
25,YelpFusionAPI," The Yelp Fusion APIs are RESTful APIs and users can retrieve business review and rating, information for a particular geographic region or location.display review information for a particular...",Recommendations,371,REST
